Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2012,Jan,65.6,61.0,12571937.0,11683759.0,888178.0,7.1
2012,Feb,65.5,61.0,12581835.0,11704383.0,877452.0,7.0
2012,Mar,65.4,61.0,12563758.0,11722322.0,841436.0,6.7
2012,Apr,65.4,61.0,12588954.0,11737849.0,851105.0,6.8
2012,May,65.4,61.0,12611625.0,11754758.0,856867.0,6.8
2012,Jun,65.4,61.0,12632078.0,11776105.0,855973.0,6.8
2012,Jul,65.4,61.0,12649825.0,11802014.0,847811.0,6.7
2012,Aug,65.4,61.1,12666216.0,11830108.0,836108.0,6.6
2012,Sep,65.4,61.1,12683588.0,11857386.0,826202.0,6.5
2012,Oct,65.4,61.1,12700534.0,11879763.0,820771.0,6.5
2012,Nov,65.3,61.1,12716045.0,11895325.0,820720.0,6.5
2012,Dec,65.3,61.1,12730458.0,11905455.0,825003.0,6.5
2013,Jan,65.3,61.0,12743658.0,11912520.0,831138.0,6.5
2013,Feb,65.3,61.0,12757010.0,11921233.0,835777.0,6.6
2013,Mar,65.2,61.0,12772688.0,11936855.0,835833.0,6.5
2013,Apr,65.3,61.0,12793456.0,11962083.0,831373.0,6.5
2013,May,65.3,61.1,12816378.0,11991479.0,824899.0,6.4
2013,Jun,65.3,61.1,12837490.0,12018765.0,818725.0,6.4
2013,Jul,65.3,61.1,12855277.0,12041788.0,813489.0,6.3
2013,Aug,65.2,61.1,12867238.0,12061310.0,805928.0,6.3
2013,Sep,65.1,61.1,12873858.0,12079341.0,794517.0,6.2
2013,Oct,65.1,61.1,12880739.0,12099121.0,781618.0,6.1
2013,Nov,65.0,61.1,12892128.0,12124031.0,768097.0,6.0
2013,Dec,65.0,61.2,12907972.0,12154284.0,753688.0,5.8
2014,Jan,65.0,61.2,12926206.0,12188294.0,737912.0,5.7
2014,Feb,64.9,61.3,12944743.0,12223189.0,721554.0,5.6
2014,Mar,64.9,61.4,12962485.0,12254958.0,707527.0,5.5
2014,Apr,64.9,61.4,12977478.0,12280595.0,696883.0,5.4
2014,May,64.9,61.4,12990622.0,12302615.0,688007.0,5.3
2014,Jun,64.8,61.4,13005331.0,12325395.0,679936.0,5.2
2014,Jul,64.8,61.4,13020533.0,12348864.0,671669.0,5.2
2014,Aug,64.7,61.5,13036080.0,12373428.0,662652.0,5.1
2014,Sep,64.7,61.5,13050337.0,12398563.0,651774.0,5.0
2014,Oct,64.6,61.5,13058380.0,12420918.0,637462.0,4.9
2014,Nov,64.5,61.4,13057664.0,12436708.0,620956.0,4.8
2014,Dec,64.3,61.4,13051833.0,12446054.0,605779.0,4.6
2015,Jan,64.2,61.3,13045727.0,12451402.0,594325.0,4.6
2015,Feb,64.1,61.2,13042678.0,12455072.0,587606.0,4.5
2015,Mar,64.0,61.1,13044962.0,12461125.0,583837.0,4.5
2015,Apr,63.9,61.1,13052347.0,12471167.0,581180.0,4.5
2015,May,63.9,61.0,13062363.0,12483045.0,579318.0,4.4
2015,Jun,63.8,61.0,13072586.0,12493882.0,578704.0,4.4
2015,Jul,63.7,60.9,13083798.0,12503348.0,580450.0,4.4
2015,Aug,63.7,60.8,13096567.0,12512227.0,584340.0,4.5
2015,Sep,63.7,60.8,13111812.0,12523886.0,587926.0,4.5
2015,Oct,63.7,60.8,13133423.0,12543363.0,590060.0,4.5
2015,Nov,63.7,60.8,13162283.0,12571333.0,590950.0,4.5
2015,Dec,63.8,60.9,13194306.0,12603859.0,590447.0,4.5
2016,Jan,63.8,61.0,13224910.0,12635778.0,589132.0,4.5
2016,Feb,63.8,61.0,13252003.0,12662766.0,589237.0,4.4
2016,Mar,63.8,61.0,13275533.0,12683175.0,592358.0,4.5
2016,Apr,63.9,61.0,13297832.0,12698126.0,599706.0,4.5
2016,May,63.9,60.9,13321031.0,12710616.0,610415.0,4.6
2016,Jun,63.9,60.9,13344101.0,12722956.0,621145.0,4.7
2016,Jul,63.9,60.9,13365941.0,12736496.0,629445.0,4.7
2016,Aug,63.9,60.9,13386060.0,12750754.0,635306.0,4.7
2016,Sep,63.9,60.8,13403980.0,12763563.0,640417.0,4.8
2016,Oct,63.8,60.8,13419163.0,12774408.0,644755.0,4.8
2016,Nov,63.8,60.8,13434311.0,12787312.0,646999.0,4.8
2016,Dec,63.8,60.8,13452830.0,12805992.0,646838.0,4.8
2017,Jan,63.8,60.7,13383543.0,12743129.0,640414.0,4.8
2017,Feb,63.8,60.8,13407092.0,12773175.0,633917.0,4.7
2017,Mar,63.8,60.9,13429146.0,12805899.0,623247.0,4.6
2017,Apr,63.8,60.9,13448306.0,12838380.0,609926.0,4.5
2017,May,63.8,61.0,13464024.0,12868903.0,595121.0,4.4
2017,Jun,63.8,61.1,13476361.0,12894947.0,581414.0,4.3
2017,Jul,63.8,61.1,13486545.0,12915730.0,570815.0,4.2
2017,Aug,63.7,61.1,13495091.0,12931972.0,563119.0,4.2
2017,Sep,63.7,61.1,13503616.0,12945812.0,557804.0,4.1
2017,Oct,63.7,61.0,13513945.0,12959897.0,554048.0,4.1
2017,Nov,63.6,61.0,13527004.0,12974970.0,552034.0,4.1
2017,Dec,63.7,61.1,13545086.0,12994087.0,550999.0,4.1
2018,Jan,63.7,61.1,13570502.0,13019810.0,550692.0,4.1
2018,Feb,63.8,61.2,13603866.0,13053266.0,550600.0,4.0
2018,Mar,63.9,61.3,13640180.0,13091083.0,549097.0,4.0
2018,Apr,64.0,61.4,13670383.0,13125424.0,544959.0,4.0
2018,May,64.0,61.5,13689632.0,13150005.0,539627.0,3.9
2018,Jun,63.9,61.5,13698819.0,13164873.0,533946.0,3.9
2018,Jul,63.9,61.4,13700824.0,13172521.0,528303.0,3.9
2018,Aug,63.8,61.4,13702378.0,13177515.0,524863.0,3.8
2018,Sep,63.7,61.3,13708279.0,13183494.0,524785.0,3.8
2018,Oct,63.7,61.2,13719955.0,13193517.0,526438.0,3.8
2018,Nov,63.7,61.2,13735166.0,13208364.0,526802.0,3.8
2018,Dec,63.7,61.2,13750400.0,13227231.0,523169.0,3.8
2019,Jan,63.7,61.3,13763201.0,13248657.0,514544.0,3.7
2019,Feb,63.6,61.3,13774028.0,13272184.0,501844.0,3.6
2019,Mar,63.6,61.4,13786042.0,13297251.0,488791.0,3.5
2019,Apr,63.6,61.4,13803426.0,13324780.0,478646.0,3.5
2019,May,63.6,61.5,13827325.0,13353151.0,474174.0,3.4
2019,Jun,63.7,61.5,13856445.0,13379740.0,476705.0,3.4
2019,Jul,63.8,61.5,13887034.0,13402466.0,484568.0,3.5
2019,Aug,63.8,61.5,13914676.0,13421600.0,493076.0,3.5
2019,Sep,63.8,61.5,13939282.0,13442538.0,496744.0,3.6
2019,Oct,63.8,61.5,13961107.0,13465764.0,495343.0,3.5
2019,Nov,63.8,61.6,13979205.0,13488900.0,490305.0,3.5
2019,Dec,63.7,61.5,13985790.0,13501568.0,484222.0,3.5
2020,Jan,63.6,61.4,13975565.0,13494841.0,480724.0,3.4
2020,Feb,63.4,61.2,13949039.0,13466024.0,483015.0,3.5
2020,Mar,62.8,59.6,13838344.0,13135701.0,702643.0,5.1
2020,Apr,59.8,52.2,13190711.0,11522574.0,1668137.0,12.6
2020,May,62.5,55.1,13800875.0,12172243.0,1628632.0,11.8
2020,Jun,62.3,56.1,13777977.0,12393208.0,1384769.0,10.1
2020,Jul,62.7,56.9,13888962.0,12601111.0,1287851.0,9.3
2020,Aug,62.7,57.6,13889681.0,12769701.0,1119980.0,8.1
2020,Sep,63.0,58.2,13983783.0,12909243.0,1074540.0,7.7
2020,Oct,62.9,58.5,13988179.0,13001357.0,986822.0,7.1
2020,Nov,63.1,58.7,14034827.0,13060347.0,974480.0,6.9
2020,Dec,63.2,58.8,14077183.0,13099439.0,977744.0,6.9
2021,Jan,63.2,58.9,14084103.0,13135663.0,948440.0,6.7
2021,Feb,63.2,59.0,14108447.0,13178764.0,929683.0,6.6
2021,Mar,63.3,59.2,14137958.0,13233703.0,904255.0,6.4
2021,Apr,63.3,59.4,14170095.0,13294137.0,875958.0,6.2
2021,May,63.4,59.6,14194328.0,13353800.0,840528.0,5.9
2021,Jun,63.5,59.8,14243426.0,13405578.0,837848.0,5.9
2021,Jul,63.4,59.9,14249596.0,13455074.0,794522.0,5.6
2021,Aug,63.4,60.0,14269081.0,13500355.0,768726.0,5.4
2021,Sep,63.3,60.1,14272899.0,13544229.0,728670.0,5.1
2021,Oct,63.3,60.2,14295547.0,13581395.0,714152.0,5.0
2021,Nov,63.2,60.1,14287946.0,13593060.0,694886.0,4.9
2021,Dec,63.1,60.1,14282879.0,13595276.0,687603.0,4.8
2022,Jan,63.3,60.2,14333602.0,13645425.0,688177.0,4.8
